Size,Type,MergeSort,HybridSort(Threshold=400)
6900,Random,2004,1611
6900,Reversed,1552,2448
6900,NearlySorted,1525,251
7000,Random,2028,1667
7000,Reversed,1584,2509
7000,NearlySorted,1543,256
7100,Random,2084,1710
7100,Reversed,1589,2570
7100,NearlySorted,1592,268
7200,Random,2089,1843
7200,Reversed,1648,2643
7200,NearlySorted,1627,260
7300,Random,2115,1781
7300,Reversed,1659,2716
7300,NearlySorted,1638,266
7400,Random,2155,1838
7400,Reversed,1644,2827
7400,NearlySorted,1632,270
7500,Random,2198,1845
7500,Reversed,1695,3032
7500,NearlySorted,1701,268
7600,Random,2231,1910
7600,Reversed,1750,2923
7600,NearlySorted,1693,269
7700,Random,2244,1923
7700,Reversed,1760,2986
7700,NearlySorted,1706,276
7800,Random,2281,1999
7800,Reversed,1753,3078
7800,NearlySorted,1706,275
7900,Random,2404,2034
7900,Reversed,1816,3141
7900,NearlySorted,1742,312
8000,Random,2345,2097
8000,Reversed,1833,3209
8000,NearlySorted,1779,289
8100,Random,2394,2157
8100,Reversed,1825,3293
8100,NearlySorted,1795,295
8200,Random,2386,2192
8200,Reversed,1847,3387
8200,NearlySorted,1809,295
8300,Random,2442,2211
8300,Reversed,1908,3493
8300,NearlySorted,1834,313
8400,Random,2461,2261
8400,Reversed,1893,3558
8400,NearlySorted,1831,308
8500,Random,2499,2303
8500,Reversed,1907,3622
8500,NearlySorted,1905,308
8600,Random,2544,2359
8600,Reversed,1988,3706
8600,NearlySorted,1929,325
8700,Random,2567,2451
8700,Reversed,1961,3781
8700,NearlySorted,2780,332
8800,Random,2617,2454
8800,Reversed,2015,3867
8800,NearlySorted,1975,330
8900,Random,2652,2513
8900,Reversed,2055,4067
8900,NearlySorted,1961,333
9000,Random,2664,2543
9000,Reversed,2100,4028
9000,NearlySorted,2044,338
9100,Random,2709,2595
9100,Reversed,2092,4109
9100,NearlySorted,2062,325
9200,Random,2710,2639
9200,Reversed,2133,4207
9200,NearlySorted,2100,343
9300,Random,2809,2690
9300,Reversed,2156,4280
9300,NearlySorted,2140,345
9400,Random,2758,2736
9400,Reversed,2158,4477
9400,NearlySorted,2094,353
9500,Random,2847,2802
9500,Reversed,2189,4596
9500,NearlySorted,2143,342
9600,Random,2845,2846
9600,Reversed,2250,4559
9600,NearlySorted,2206,356
9700,Random,2848,2903
9700,Reversed,2278,4674
9700,NearlySorted,2154,351
9800,Random,2889,2948
9800,Reversed,2233,4751
9800,NearlySorted,2219,356
9900,Random,2919,3012
9900,Reversed,2259,4829
9900,NearlySorted,2196,351
10000,Random,2928,3041
10000,Reversed,2275,5163
10000,NearlySorted,2252,370
