Size,Type,MergeSort,HybridSort(Threshold=400)
500,Random,189,117
500,Reversed,108,192
500,NearlySorted,117,17
600,Random,164,161
600,Reversed,129,279
600,NearlySorted,134,17
700,Random,341,363
700,Reversed,245,585
700,NearlySorted,238,19
800,Random,300,389
800,Reversed,218,597
800,NearlySorted,215,24
900,Random,269,196
900,Reversed,204,344
900,NearlySorted,209,37
1000,Random,281,234
1000,Reversed,219,390
1000,NearlySorted,217,24
1100,Random,305,274
1100,Reversed,250,464
1100,NearlySorted,240,27
1200,Random,332,318
1200,Reversed,266,615
1200,NearlySorted,275,33
1300,Random,352,364
1300,Reversed,276,665
1300,NearlySorted,293,33
1400,Random,380,433
1400,Reversed,296,939
1400,NearlySorted,308,37
1500,Random,406,500
1500,Reversed,302,849
1500,NearlySorted,322,39
1600,Random,432,547
1600,Reversed,343,965
1600,NearlySorted,352,42
1700,Random,464,353
1700,Reversed,361,572
1700,NearlySorted,360,45
1800,Random,488,396
1800,Reversed,376,638
1800,NearlySorted,382,49
1900,Random,523,452
1900,Reversed,409,714
1900,NearlySorted,428,52
2000,Random,558,489
2000,Reversed,435,789
2000,NearlySorted,436,59
2100,Random,577,531
2100,Reversed,464,879
2100,NearlySorted,457,58
2200,Random,614,569
2200,Reversed,484,942
2200,NearlySorted,487,64
2300,Random,644,614
2300,Reversed,481,1019
2300,NearlySorted,515,67
2400,Random,660,661
2400,Reversed,528,1112
2400,NearlySorted,522,64
2500,Random,705,708
2500,Reversed,532,1213
2500,NearlySorted,560,62
2600,Random,734,746
2600,Reversed,556,1304
2600,NearlySorted,562,68
2700,Random,759,811
2700,Reversed,577,1395
2700,NearlySorted,599,70
2800,Random,767,865
2800,Reversed,608,1498
2800,NearlySorted,631,73
2900,Random,801,935
2900,Reversed,634,1601
2900,NearlySorted,627,73
3000,Random,831,1012
3000,Reversed,630,1707
3000,NearlySorted,654,79
3100,Random,860,1073
3100,Reversed,658,1829
3100,NearlySorted,673,80
3200,Random,906,1100
3200,Reversed,677,1953
3200,NearlySorted,694,87
3300,Random,934,703
3300,Reversed,702,1265
3300,NearlySorted,724,114
3400,Random,977,748
3400,Reversed,726,1166
3400,NearlySorted,768,102
3500,Random,988,849
3500,Reversed,766,1231
3500,NearlySorted,754,107
3600,Random,1343,919
3600,Reversed,976,1311
3600,NearlySorted,795,112
3700,Random,1047,871
3700,Reversed,819,1377
3700,NearlySorted,810,114
3800,Random,1080,904
3800,Reversed,831,1434
3800,NearlySorted,826,111
3900,Random,1096,947
3900,Reversed,841,1530
3900,NearlySorted,856,119
4000,Random,1135,1025
4000,Reversed,877,1603
4000,NearlySorted,881,134
4100,Random,1150,1056
4100,Reversed,922,1684
4100,NearlySorted,918,130
4200,Random,1196,1087
4200,Reversed,913,1787
4200,NearlySorted,932,138
4300,Random,1221,1136
4300,Reversed,946,1821
4300,NearlySorted,948,139
4400,Random,1271,1177
4400,Reversed,985,1909
4400,NearlySorted,977,138
4500,Random,1300,1252
4500,Reversed,1019,1996
4500,NearlySorted,1017,139
4600,Random,1323,1283
4600,Reversed,1020,2086
4600,NearlySorted,1050,145
4700,Random,1348,1324
4700,Reversed,1041,2167
4700,NearlySorted,1032,148
4800,Random,1379,1363
4800,Reversed,1072,2251
4800,NearlySorted,1072,152
4900,Random,1405,1419
4900,Reversed,1105,2342
4900,NearlySorted,1095,159
5000,Random,1430,1467
5000,Reversed,1263,2446
5000,NearlySorted,1119,155
5100,Random,1441,1507
5100,Reversed,1117,2525
5100,NearlySorted,1144,161
5200,Random,1496,1565
5200,Reversed,1157,2639
5200,NearlySorted,1150,163
5300,Random,1546,1631
5300,Reversed,1184,2732
5300,NearlySorted,1145,170
5400,Random,1571,1701
5400,Reversed,1205,2820
5400,NearlySorted,1191,178
5500,Random,1576,1733
5500,Reversed,1228,2923
5500,NearlySorted,1231,181
5600,Random,1618,1793
5600,Reversed,1254,3040
5600,NearlySorted,1245,188
5700,Random,1656,1860
5700,Reversed,1299,3160
5700,NearlySorted,1276,191
5800,Random,1693,1931
5800,Reversed,1287,3252
5800,NearlySorted,1273,186
5900,Random,1692,1980
5900,Reversed,1324,3367
5900,NearlySorted,1297,189
6000,Random,1740,2065
6000,Reversed,1351,3472
6000,NearlySorted,1311,187
6100,Random,1755,2112
6100,Reversed,1336,3583
6100,NearlySorted,1352,196
6200,Random,1793,2209
6200,Reversed,1384,3680
6200,NearlySorted,1352,200
6300,Random,1846,2219
6300,Reversed,1414,3806
6300,NearlySorted,1373,193
6400,Random,1855,2308
6400,Reversed,1413,4007
6400,NearlySorted,1404,200
6500,Random,1877,1460
6500,Reversed,1481,2180
6500,NearlySorted,1427,248
6600,Random,1934,1512
6600,Reversed,1480,2241
6600,NearlySorted,1500,248
6700,Random,1947,1590
6700,Reversed,1495,2318
6700,NearlySorted,1483,241
6800,Random,1982,1589
6800,Reversed,1526,2392
6800,NearlySorted,1517,245
