Size,Type,MergeSort,HybridSort(Threshold=250)
500,Random,344,252
500,Reversed,264,457
500,NearlySorted,268,31
600,Random,384,248
600,Reversed,302,367
600,NearlySorted,339,43
700,Random,451,308
700,Reversed,365,519
700,NearlySorted,371,48
800,Random,514,360
800,Reversed,404,608
800,NearlySorted,375,61
900,Random,559,406
900,Reversed,443,720
900,NearlySorted,562,63
1000,Random,631,528
1000,Reversed,500,882
1000,NearlySorted,509,62
1100,Random,635,330
1100,Reversed,458,473
1100,NearlySorted,446,56
1200,Random,531,313
1200,Reversed,400,458
1200,NearlySorted,399,47
1300,Random,463,290
1300,Reversed,354,417
1300,NearlySorted,336,43
1400,Random,465,313
1400,Reversed,360,484
1400,NearlySorted,369,57
1500,Random,485,357
1500,Reversed,374,556
1500,NearlySorted,381,50
1600,Random,520,400
1600,Reversed,408,768
1600,NearlySorted,400,53
1700,Random,562,432
1700,Reversed,444,705
1700,NearlySorted,433,55
1800,Random,596,473
1800,Reversed,469,782
1800,NearlySorted,465,57
1900,Random,651,540
1900,Reversed,509,969
1900,NearlySorted,523,61
2000,Random,673,567
2000,Reversed,519,962
2000,NearlySorted,540,75
2100,Random,718,409
2100,Reversed,542,586
2100,NearlySorted,564,84
2200,Random,750,445
2200,Reversed,577,640
2200,NearlySorted,582,90
2300,Random,766,478
2300,Reversed,596,688
2300,NearlySorted,602,88
2400,Random,815,513
2400,Reversed,633,736
2400,NearlySorted,638,91
2500,Random,852,543
2500,Reversed,666,797
2500,NearlySorted,676,96
2600,Random,864,595
2600,Reversed,671,864
2600,NearlySorted,680,102
2700,Random,926,622
2700,Reversed,718,929
2700,NearlySorted,714,103
2800,Random,943,668
2800,Reversed,726,987
2800,NearlySorted,730,105
2900,Random,984,716
2900,Reversed,772,1069
2900,NearlySorted,774,108
3000,Random,1011,740
3000,Reversed,772,1120
3000,NearlySorted,786,114
3100,Random,1046,798
3100,Reversed,819,1198
3100,NearlySorted,845,120
3200,Random,1101,815
3200,Reversed,832,1300
3200,NearlySorted,856,123
3300,Random,1127,867
3300,Reversed,868,1362
3300,NearlySorted,889,133
3400,Random,1166,926
3400,Reversed,905,1444
3400,NearlySorted,910,144
3500,Random,1205,952
3500,Reversed,942,1533
3500,NearlySorted,938,145
3600,Random,1244,1020
3600,Reversed,972,1587
3600,NearlySorted,967,139
3700,Random,1259,1060
3700,Reversed,995,1663
3700,NearlySorted,962,146
3800,Random,1295,1111
3800,Reversed,986,1920
3800,NearlySorted,1008,136
3900,Random,1336,1176
3900,Reversed,1043,1853
3900,NearlySorted,1047,158
4000,Random,1391,1205
4000,Reversed,1063,1945
4000,NearlySorted,1041,163
4100,Random,1399,859
4100,Reversed,1072,1144
4100,NearlySorted,1087,194
4200,Random,1460,897
4200,Reversed,1114,1224
4200,NearlySorted,1137,206
4300,Random,1483,946
4300,Reversed,1158,1251
4300,NearlySorted,1126,199
4400,Random,1531,947
4400,Reversed,1167,1293
4400,NearlySorted,1186,192
4500,Random,1548,1001
4500,Reversed,1219,1344
4500,NearlySorted,1232,212
4600,Random,1610,1012
4600,Reversed,1233,1429
4600,NearlySorted,1259,224
4700,Random,1625,1057
4700,Reversed,1258,1473
4700,NearlySorted,1257,206
4800,Random,1676,1094
4800,Reversed,1279,1793
4800,NearlySorted,1299,224
4900,Random,1749,1151
4900,Reversed,1335,1593
4900,NearlySorted,1324,208
5000,Random,1759,1173
5000,Reversed,1331,1640
5000,NearlySorted,1343,225
5100,Random,1759,1200
5100,Reversed,1363,1709
5100,NearlySorted,1352,233
5200,Random,1787,1262
5200,Reversed,1383,1799
5200,NearlySorted,1364,241
5300,Random,1846,1295
5300,Reversed,1427,1832
5300,NearlySorted,1434,244
5400,Random,1908,1322
5400,Reversed,1440,1889
5400,NearlySorted,1445,250
5500,Random,1905,1363
5500,Reversed,1521,1971
5500,NearlySorted,1481,252
5600,Random,1947,1423
5600,Reversed,1560,2027
5600,NearlySorted,1520,261
5700,Random,2006,1465
5700,Reversed,1593,2099
5700,NearlySorted,1890,263
5800,Random,2031,1494
5800,Reversed,1588,2158
5800,NearlySorted,1581,291
5900,Random,2047,1577
5900,Reversed,1589,2338
5900,NearlySorted,1599,264
6000,Random,2102,1589
6000,Reversed,1632,2303
6000,NearlySorted,1618,278
6100,Random,2153,1628
6100,Reversed,1663,2380
6100,NearlySorted,1652,287
6200,Random,2192,1661
6200,Reversed,1680,2468
6200,NearlySorted,1705,295
6300,Random,2226,1694
6300,Reversed,1721,2509
6300,NearlySorted,1690,300
6400,Random,2267,1725
6400,Reversed,1726,2587
6400,NearlySorted,1736,289
6500,Random,2314,1794
6500,Reversed,1781,2676
6500,NearlySorted,1756,298
6600,Random,2326,1840
6600,Reversed,1881,2751
6600,NearlySorted,1824,300
6700,Random,2389,2044
6700,Reversed,1835,2823
6700,NearlySorted,1822,307
6800,Random,2427,1958
6800,Reversed,1897,2912
6800,NearlySorted,1864,305
6900,Random,2454,1983
6900,Reversed,1896,2977
6900,NearlySorted,1849,315
7000,Random,2462,2043
7000,Reversed,1943,3061
7000,NearlySorted,1907,334
7100,Random,2526,2090
7100,Reversed,1964,3154
7100,NearlySorted,1904,311
7200,Random,2572,2218
7200,Reversed,1992,3236
7200,NearlySorted,1931,315
7300,Random,2609,2164
7300,Reversed,2005,3829
7300,NearlySorted,2005,343
7400,Random,2644,2210
7400,Reversed,2047,3409
7400,NearlySorted,1975,333
7500,Random,2676,2254
7500,Reversed,2091,3632
7500,NearlySorted,2025,336
7600,Random,2728,2334
7600,Reversed,2101,3587
7600,NearlySorted,2025,335
7700,Random,2733,2437
7700,Reversed,2120,3675
7700,NearlySorted,2101,351
7800,Random,2779,2426
7800,Reversed,2170,3762
7800,NearlySorted,2130,362
7900,Random,2817,2533
7900,Reversed,2186,3838
7900,NearlySorted,2116,365
8000,Random,2880,2543
8000,Reversed,2197,3952
8000,NearlySorted,2149,361
8100,Random,2900,1834
8100,Reversed,2236,2317
8100,NearlySorted,2153,421
8200,Random,2935,1858
8200,Reversed,2244,2356
