Size,Type,MergeSort,HybridSort(Threshold=250)
8200,NearlySorted,2223,438
8300,Random,3011,1889
8300,Reversed,2303,2410
8300,NearlySorted,2237,444
8400,Random,3006,1916
8400,Reversed,2304,2452
8400,NearlySorted,2280,447
8500,Random,3037,1967
8500,Reversed,2352,2622
8500,NearlySorted,2305,451
8600,Random,3061,1981
8600,Reversed,2382,2605
8600,NearlySorted,2362,472
8700,Random,3108,2010
8700,Reversed,2432,2793
8700,NearlySorted,2430,464
8800,Random,3164,2038
8800,Reversed,2466,2705
8800,NearlySorted,2422,471
8900,Random,3189,2062
8900,Reversed,2492,2718
8900,NearlySorted,2410,460
9000,Random,3301,2127
9000,Reversed,2496,2775
9000,NearlySorted,2454,464
9100,Random,3287,2152
9100,Reversed,2567,2856
9100,NearlySorted,2516,472
9200,Random,3328,2188
9200,Reversed,2593,2885
9200,NearlySorted,2518,472
9300,Random,3360,2212
9300,Reversed,2592,2953
9300,NearlySorted,2560,492
9400,Random,3426,2254
9400,Reversed,2610,3100
9400,NearlySorted,2562,465
9500,Random,3393,2299
9500,Reversed,2695,3044
9500,NearlySorted,2612,491
9600,Random,3448,2349
9600,Reversed,2743,3111
9600,NearlySorted,2649,492
9700,Random,3585,2398
9700,Reversed,2793,3197
9700,NearlySorted,2653,527
9800,Random,3547,2445
9800,Reversed,2783,3247
9800,NearlySorted,2665,504
9900,Random,3589,2475
9900,Reversed,2822,3310
9900,NearlySorted,2719,527
10000,Random,3627,2486
10000,Reversed,2818,3377
10000,NearlySorted,2688,526
