Size,Type,MergeSort,HybridSort(Threshold=20)
7800,Random,2763,1403
7800,Reversed,2152,935
7800,NearlySorted,2090,676
7900,Random,2808,1397
7900,Reversed,2125,960
7900,NearlySorted,2132,678
8000,Random,2815,1441
8000,Reversed,2162,989
8000,NearlySorted,2145,712
8100,Random,2877,1471
8100,Reversed,2216,1002
8100,NearlySorted,2171,711
8200,Random,2923,1473
8200,Reversed,3126,1004
8200,NearlySorted,2366,748
8300,Random,2952,1482
8300,Reversed,2445,1052
8300,NearlySorted,2197,750
8400,Random,3067,1489
8400,Reversed,2309,1035
8400,NearlySorted,2261,732
8500,Random,3043,1514
8500,Reversed,2368,1052
8500,NearlySorted,2310,731
8600,Random,3083,1545
8600,Reversed,2427,1079
8600,NearlySorted,2432,737
8700,Random,3129,1526
8700,Reversed,2395,1051
8700,NearlySorted,2337,744
8800,Random,3182,1580
8800,Reversed,2433,1123
8800,NearlySorted,2414,757
8900,Random,3190,1603
8900,Reversed,2491,1080
8900,NearlySorted,2408,789
9000,Random,3259,1600
9000,Reversed,2564,1139
9000,NearlySorted,2434,808
9100,Random,3274,1631
9100,Reversed,2525,1166
9100,NearlySorted,2513,804
9200,Random,3269,1619
9200,Reversed,2570,1136
9200,NearlySorted,2573,771
9300,Random,3347,1643
9300,Reversed,2636,1190
9300,NearlySorted,2566,811
9400,Random,3384,1671
9400,Reversed,2636,1192
9400,NearlySorted,2549,814
9500,Random,3374,1718
9500,Reversed,2646,1183
9500,NearlySorted,3785,847
9600,Random,3456,1712
9600,Reversed,2784,1200
9600,NearlySorted,2603,815
9700,Random,3477,1745
9700,Reversed,2803,1209
9700,NearlySorted,2660,804
9800,Random,3567,1739
9800,Reversed,2754,1269
9800,NearlySorted,2663,841
9900,Random,3561,1755
9900,Reversed,2732,1264
9900,NearlySorted,2736,855
10000,Random,3590,1781
10000,Reversed,2820,1304
10000,NearlySorted,2719,839
